label	exp400	exp1200
3'	-13.535	-13.502
4'	25.246	25.193
5'	-2.34	-2.343
6'	14.909	14.925
CH'	446.273	445.287
$\gamma_2$	116.32	116.209
$\gamma_1$	229.201	228.88
$\gamma_2$'	110.991	110.799
$\gamma_1$'	186.455	186.163
\3	-13.996	-13.98
\4	26.214	26.159
\5	2.552	2.524
\6	15.008	15.007
CH	438.033	437.152
$\beta_1$	-1.907	-1.965
$\beta_2$	-0.894	-0.886
$\alpha_2$	79.71	79.479
$\alpha_1$	286.931	286.49
$\alpha_2$'	258.472	257.578
$\alpha_1$'	34.631	34.78
$\beta_2$'	-8.579	-8.551
$\beta_1$'	-10.609	-10.584
NH	-333.074	-332.25
